               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 128,             0.71879,             0.48102,              1.1068,             0.92222,             0.82843,             0.92052,             0.65959,              2.2819,              1.4754,              3.2493,           0.0001618,           0.0001618,           0.0001618
                 129,             0.71976,             0.48072,              1.1121,             0.93796,             0.81522,             0.92418,             0.66307,              2.2705,              1.4635,              3.2537,           0.0001552,           0.0001552,           0.0001552
                 130,             0.71678,             0.48165,              1.1041,             0.90943,             0.83824,             0.92826,             0.66829,              2.2406,              1.4441,              3.2248,           0.0001486,           0.0001486,           0.0001486
                 131,             0.70637,             0.47511,              1.0914,             0.87703,              0.8624,             0.92094,              0.6605,              2.2782,              1.5356,               3.245,            0.000142,            0.000142,            0.000142
                 132,             0.70591,             0.47258,              1.1009,             0.88773,             0.86928,             0.92942,             0.67233,              2.2469,              1.4573,              3.2204,           0.0001354,           0.0001354,           0.0001354
                 133,              0.7084,             0.46514,              1.0835,             0.89238,             0.85458,             0.92156,             0.66179,              2.2698,              1.5191,              3.2422,           0.0001288,           0.0001288,           0.0001288
                 134,              0.7112,             0.47182,              1.0966,             0.89971,             0.85294,             0.92426,             0.66357,              2.2582,              1.5036,              3.2335,           0.0001222,           0.0001222,           0.0001222
                 135,             0.71117,             0.47572,              1.0938,             0.88712,             0.85948,             0.92103,             0.66275,              2.2469,               1.488,              3.2374,           0.0001156,           0.0001156,           0.0001156
                 136,             0.70065,             0.46862,              1.0949,             0.88934,             0.85361,             0.91775,             0.65909,              2.2556,              1.5373,              3.2284,            0.000109,            0.000109,            0.000109
                 137,              0.7075,              0.4734,              1.0973,             0.89536,              0.8529,             0.91706,             0.65694,              2.2797,              1.5352,              3.2574,           0.0001024,           0.0001024,           0.0001024
                 138,               0.709,             0.47254,               1.092,             0.91636,             0.84143,             0.92472,             0.65941,              2.2735,              1.4733,              3.2584,            9.58e-05,            9.58e-05,            9.58e-05
                 139,             0.69514,             0.46413,              1.0884,             0.91129,             0.83922,             0.91981,             0.65432,              2.2783,              1.5098,              3.2668,            8.92e-05,            8.92e-05,            8.92e-05
                 140,             0.70079,             0.46561,               1.086,             0.89736,             0.85131,             0.92621,             0.65833,              2.2749,              1.4863,              3.2651,            8.26e-05,            8.26e-05,            8.26e-05
                 141,             0.69216,             0.46356,              1.0898,             0.90825,             0.84804,             0.92385,             0.65935,              2.2738,              1.5284,              3.2549,             7.6e-05,             7.6e-05,             7.6e-05
                 142,             0.69571,             0.46816,              1.0776,              0.9094,             0.85621,             0.93232,             0.66715,              2.2623,              1.4673,                3.27,            6.94e-05,            6.94e-05,            6.94e-05
                 143,             0.69088,             0.46808,              1.0848,             0.91523,             0.85948,               0.928,             0.66442,              2.2722,              1.4742,              3.2763,            6.28e-05,            6.28e-05,            6.28e-05
                 144,             0.67712,             0.46001,              1.0755,             0.91126,             0.85621,              0.9246,             0.65709,              2.2875,              1.5008,               3.291,            5.62e-05,            5.62e-05,            5.62e-05
                 145,             0.68719,             0.46398,              1.0768,             0.89535,             0.86928,             0.92627,             0.65754,              2.2836,              1.4878,              3.2833,            4.96e-05,            4.96e-05,            4.96e-05
                 146,              0.6707,             0.45551,              1.0737,             0.89868,             0.86954,             0.92616,             0.66055,              2.2778,              1.4907,              3.2799,             4.3e-05,             4.3e-05,             4.3e-05
                 147,             0.66732,              0.4591,              1.0746,             0.90061,             0.87356,             0.92413,             0.66098,              2.2687,              1.4845,              3.2715,            3.64e-05,            3.64e-05,            3.64e-05
                 148,             0.67805,             0.45681,              1.0755,             0.90573,             0.86765,             0.92565,             0.65993,              2.2711,              1.4778,              3.2734,            2.98e-05,            2.98e-05,            2.98e-05
                 149,             0.67931,              0.4568,              1.0772,             0.90795,             0.87582,             0.92795,             0.66358,              2.2556,              1.4584,              3.2593,            2.32e-05,            2.32e-05,            2.32e-05
